Address,Rank,Size,Symbol,Tag
0x00103888,U,000004,_ZN2nn2os6Thread8TypeInfo7DestroyIPFvvEEEvPv,
0x0010388C,U,000004,_ZN2nn2os6Thread8TypeInfo7DestroyIiEEvPv,
0x00103890,U,000016,_ZN2nn2os3ARM17SpinWaitCpuCyclesEi,
0x001038A0,O,000036,_ZN2nn3svc12CreateThreadEPNS_6HandleEPFvjEjjii,
0x001038C4,U,000068,,
0x00103908,U,000104,_ZN2al13ArchiveHolderC2Ev,
0x00103978,U,000104,_ZN2al15SoundItemHolderC2Ev,
0x001039E8,U,000176,_ZN2al16FileLoaderThreadC2Ei,
0x00103ABC,U,000052,_ZN4sead20GameFrameworkCtrNw4c10deallocateEv,
0x00103AF4,U,000024,,
0x00103B10,U,000052,_ZN4sead20GameFrameworkCtrNw4c8allocateEv,
0x00103B48,U,000028,,
0x00103B64,U,000356,,
0x00103CDC,U,000208,,
0x00103DD8,U,000040,,
0x00103E04,U,000032,,
0x00103E28,U,000032,,
0x00103E4C,U,000032,,
0x00103E6C,U,000032,,
0x00103E8C,U,000132,_ZN2nn2fs10InitializeEv,
0x00103F14,U,000432,_ZN2nn2fs24GetRomRequiredMemorySizeEjjb,
0x001040D4,U,000120,_ZN2nn2fs8MountRomEjjPvjb,
0x00104154,U,000004,_ZN2nn2os3CTR43_GLOBAL__N__19_os_CppException_cpp_0201818f23DefaultTerminateHandlerEvs,
0x00104158,U,000052,_ZN2nn3ndm22OverrideDefaultDaemonsEj,
0x00104194,U,000060,_ZN2nn3srv6detail7Service19ReceiveNotificationEPj,
0x001041D4,U,000012,,
0x001041E0,U,000012,_ZN2nn6applet3CTR17GetTransitionTypeEv,
0x001041F0,U,000012,_ZN2nn6applet3CTR17SetTransitionTypeENS1_14TransitionTypeE,
0x00104200,U,001004,_ZN2nn6applet3CTR26ReceiveCallbackForCommandsEj,
0x001045F8,U,000016,_ZN2nn6applet3CTR29SetReceivedWakeupByCancelFlagEv,
0x0010460C,U,000016,_ZN2nn6applet3CTR6detail11SetInactiveEv,
0x00104620,U,000072,_ZN2nn6applet3CTR6detail12NotifyToWaitEv,
0x00104670,U,000052,_ZN2nn6applet3CTR6detail14LockTransitionEjb,
0x001046A4,U,000032,_ZN2nn6applet3CTR6detail18RestoreVramSysAreaEv,
0x001046C8,U,000016,_ZN2nn6applet3CTR6detail18SetReceiveCallbackEPFbjEj,
0x001046DC,U,000012,_ZN2nn6applet3CTR6detail25PreloadLibraryApplet_Func10CancelCoreEv,
0x001046EC,U,000048,_ZN2nn6applet3CTR6detail6APPLET11SleepSystemEy,
0x00104724,U,000072,_ZN2nn6applet3CTR6detail6APPLET16CloseApplicationEPKhjNS_6HandleE,
0x00104774,U,000064,_ZN2nn6applet3CTR6detail6APPLET19InquireNotificationEjPNS1_12NotificationE,
0x001047BC,U,000052,_ZN2nn6applet3CTR6detail6APPLET25PrepareToCloseApplicationEb,
0x001047F8,U,000016,_ZN2nn6applet3CTR6detail9SetActiveEv,
0x0010480C,U,000032,_ZN4sead10HeapPolicyC2Ev,
0x0010482C,U,000092,,
0x0010488C,U,000276,_ZN4sead11ResourceMgrC2Ev,
0x001049C0,U,000092,_ZN4sead12GlobalRandom14createInstanceEPNS_4HeapE,
0x00104A24,U,000452,_ZN4sead13FileDeviceMgr5mountEPNS_10FileDeviceERKNS_14SafeStringBaseIcEE,
0x00104BEC,U,000444,_ZN4sead14MainFileDeviceC2EPNS_4HeapE,
0x00104DD0,U,000100,_ZN4sead23DefaultGfxMemoryMgrCtrC2Ev,
0x00104E38,U,000012,_ZN4sead7HeapMgr10initializeEm,
0x00104E48,U,000032,_ZN4sead7HeapMgr10initializeEPNS_5ArenaE,
0x00104E70,U,000016,_ZN4sead7HeapMgr22setAllocFailedCallbackEPNS_10IDelegate1IPKNS0_22AllocFailedCallbackArgEEE,
0x00104E80,U,000196,_ZN4sead8Graphics10initializeEPNS_4HeapE,
0x00104F48,U,000264,_ZN4sead8UlcdTaskC1ERKN4sead16TaskConstructArgE,
0x0010506C,U,000056,_ZN4sead9FrameworkC2Ev,
0x001050AC,U,000092,_ZN4sead9ThreadMgr14createInstanceEPNS_4HeapE,
0x00105110,U,000060,nngxEnableCmdlistCallback,
