Start,     Pool,      End,       Section,   Rank,Type,Symbol
0x002DB558,          ,0x002DB58C,          ,U,f,_ZN4sead13FaderTaskBase5enterEv
0x002DB58C,          ,0x002DB590,          ,U,f,
0x002DB590,0x002DB924,0x002DB928,          ,U,f,_ZN4sead13FaderTaskBase9calcCore_Ev
0x002DB928,          ,0x002DB990,          ,U,f,
0x002DB990,0x002DBBB4,0x002DBBE8,          ,U,f,_ZN4sead13FaderTaskBaseC2ERKNS_16TaskConstructArgEPKc
0x002DBBE8,0x002DBC80,0x002DBC8C,          ,U,f,
0x002DBC8C,          ,0x002DBD30,          ,U,f,
0x002DBD30,0x002DBD9C,0x002DBDA8,          ,U,f,
0x002DBDA8,0x002DBE88,0x002DBE90,          ,U,f,
0x002DBE90,0x002DBF10,0x002DBF14,          ,U,f,
0x002DBF14,0x002DBF2C,0x002DBF30,          ,U,f,_ZN4sead13MethodTreeMgrC2Ev
0x002DBF30,          ,0x002DBF74,          ,U,f,
0x002DBF74,          ,0x002DBF78,          ,U,f,
0x002DBF78,0x002DC138,0x002DC14C,          ,U,f,
0x002DC14C,0x002DC268,0x002DC270,          ,U,f,
0x002DC270,0x002DC2F8,0x002DC300,          ,U,f,
0x002DC300,0x002DC4E0,0x002DC4E4,          ,U,f,
0x002DC4E4,          ,0x002DC4EC,          ,U,f,
0x002DC4EC,          ,0x002DC50C,          ,U,f,
0x002DC50C,0x002DC558,0x002DC55C,          ,U,f,
0x002DC55C,          ,0x002DC56C,          ,U,f,
0x002DC56C,          ,0x002DC570,          ,U,f,
0x002DC570,          ,0x002DC574,          ,U,f,
0x002DC574,          ,0x002DC57C,          ,U,f,
0x002DC57C,          ,0x002DC580,          ,U,f,
0x002DC580,0x002DC5A8,0x002DC5BC,          ,U,f,_ZN4sead13NullFaderTaskC2ERKNS_16TaskConstructArgE
0x002DC5BC,          ,0x002DC5C8,          ,U,f,
0x002DC5C8,0x002DC614,0x002DC61C,          ,U,f,
0x002DC61C,          ,0x002DC7B0,          ,U,f,
0x002DC7B0,          ,0x002DC7B4,          ,U,f,
0x002DC7B4,          ,0x002DC840,          ,U,f,
0x002DC840,          ,0x002DC864,          ,U,f,
0x002DC864,          ,0x002DC86C,          ,U,f,
0x002DC86C,          ,0x002DC8B8,          ,U,f,_ZN4sead14AudioPlayerCtr7stopAllEi
0x002DC8B8,          ,0x002DC984,          ,U,f,
0x002DC984,0x002DC9D8,0x002DC9DC,          ,U,f,
0x002DC9DC,          ,0x002DCA98,          ,U,f,
0x002DCA98,          ,0x002DCAC8,          ,U,f,
0x002DCAC8,0x002DCB2C,0x002DCB30,          ,U,f,
0x002DCB30,0x002DCB4C,0x002DCB50,          ,U,f,
0x002DCB50,          ,0x002DCB58,          ,U,f,
0x002DCB58,0x002DCBF0,0x002DCBF8,          ,U,f,
0x002DCBF8,          ,0x002DCC00,          ,U,f,
0x002DCC00,0x002DCCB8,0x002DCCC4,          ,U,f,
0x002DCCC4,0x002DCEA0,0x002DCEA4,          ,U,f,_ZN4sead14ControllerBase13getStickHold_EjRKNS_7Vector2IfEEffi
0x002DCEA4,0x002DCFB0,0x002DCFB4,          ,U,f,
0x002DCFB4,          ,0x002DD17C,          ,U,f,_ZN4sead14ControllerBase23updateDerivativeParams_Ejb
0x002DD17C,0x002DD25C,0x002DD274,          ,U,f,
0x002DD274,          ,0x002DD290,          ,U,f,
0x002DD290,          ,0x002DD294,          ,U,f,
0x002DD294,0x002DD2E0,0x002DD2EC,          ,U,f,
0x002DD2EC,0x002DD32C,0x002DD338,          ,U,f,
0x002DD338,          ,0x002DD33C,          ,U,f,
0x002DD33C,          ,0x002DD3C8,          ,U,f,
0x002DD3C8,          ,0x002DD498,          ,U,f,
0x002DD498,          ,0x002DD4A0,          ,U,f,
0x002DD4A0,          ,0x002DD4BC,          ,U,f,
0x002DD4BC,          ,0x002DD4C0,          ,U,f,
0x002DD4C0,          ,0x002DD4C4,          ,U,f,
0x002DD4C4,          ,0x002DD4C8,          ,U,f,
0x002DD4C8,          ,0x002DD530,          ,U,f,
0x002DD530,          ,0x002DD614,          ,U,f,_ZN4sead14DualScreenTask9pauseDrawEb
0x002DD614,0x002DD678,0x002DD680,          ,U,f,
0x002DD680,          ,0x002DD698,          ,U,f,
0x002DD698,          ,0x002DD6B0,          ,U,f,
0x002DD6B0,          ,0x002DD6C8,          ,U,f,
0x002DD6C8,          ,0x002DD6E0,          ,U,f,
0x002DD6E0,0x002DD728,0x002DD72C,          ,U,f,_ZN4sead14MainFileDeviceD0Ev
0x002DD72C,0x002DD768,0x002DD76C,          ,U,f,
0x002DD76C,0x002DDA04,0x002DDA14,          ,U,f,
0x002DDA14,          ,0x002DDA18,          ,U,f,
0x002DDA18,0x002DDA28,0x002DDA2C,          ,U,f,
0x002DDA2C,0x002DDA98,0x002DDAA4,          ,U,f,
0x002DDAA4,          ,0x002DDAA8,          ,U,f,
0x002DDAA8,0x002DDAB8,0x002DDABC,          ,U,f,
0x002DDABC,0x002DDAE0,0x002DDAE4,          ,U,f,
0x002DDAE4,          ,0x002DDAEC,          ,U,f,
0x002DDAEC,          ,0x002DDAF4,          ,U,f,
0x002DDAF4,          ,0x002DDAFC,          ,U,f,
0x002DDAFC,          ,0x002DDB00,          ,U,f,
0x002DDB00,0x002DDC10,0x002DDC2C,          ,U,f,
0x002DDC2C,          ,0x002DDC30,          ,U,f,
0x002DDC30,0x002DDC5C,0x002DDC60,          ,U,f,_ZN4sead19ProcessMeterBarBaseD2Ev
0x002DDC60,          ,0x002DDC64,          ,U,f,_ZN4sead15FixedSafeStringILi1024EED2Ev
0x002DDC64,          ,0x002DDC68,          ,U,f,_ZN4sead15FixedSafeStringILi256EED2Ev
0x002DDC68,          ,0x002DDCDC,          ,U,f,
0x002DDCDC,0x002DDD10,0x002DDD18,          ,U,f,
0x002DDD18,0x002DE214,0x002DE238,          ,U,f,
0x002DE238,0x002DE268,0x002DE270,          ,U,f,
0x002DE270,0x002DE3C8,0x002DE3E8,          ,U,f,
0x002DE3E8,0x002DE410,0x002DE418,          ,U,f,
0x002DE418,          ,0x002DE41C,          ,U,f,
0x002DE41C,0x002DE520,0x002DE53C,          ,U,f,
0x002DE53C,          ,0x002DE540,          ,U,f,
0x002DE540,0x002DE604,0x002DE60C,          ,U,f,
0x002DE60C,0x002DE7A0,0x002DE7B4,          ,U,f,
0x002DE7B4,0x002DE7E4,0x002DE7E8,          ,U,f,
0x002DE7E8,          ,0x002DE7EC,          ,U,f,
0x002DE7EC,0x002DE86C,0x002DE878,          ,U,f,_ZN4sead16TextStreamFormat6readS8EPNS_9StreamSrcENS_6Endian5TypesE
0x002DE878,0x002DE8F8,0x002DE904,          ,U,f,_ZN4sead16TextStreamFormat6readU8EPNS_9StreamSrcENS_6Endian5TypesE
0x002DE904,          ,0x002DE914,          ,U,f,
0x002DE914,0x002DE994,0x002DE9A0,          ,U,f,_ZN4sead16TextStreamFormat7readS16EPNS_9StreamSrcENS_6Endian5TypesE
0x002DE9A0,0x002DEA20,0x002DEA2C,          ,U,f,
0x002DEA2C,0x002DEAAC,0x002DEAB8,          ,U,f,
0x002DEAB8,0x002DEB48,0x002DEB54,          ,U,f,
0x002DEB54,0x002DEC20,0x002DEC24,          ,U,f,
0x002DEC24,0x002DECF0,0x002DECF4,          ,U,f,
0x002DECF4,0x002DEDC0,0x002DEDC4,          ,U,f,
0x002DEDC4,0x002DEE90,0x002DEE94,          ,U,f,
0x002DEE94,0x002DEF60,0x002DEF64,          ,U,f,
0x002DEF64,0x002DF038,0x002DF040,          ,U,f,
0x002DF040,0x002DF0BC,0x002DF0D8,          ,U,f,
0x002DF0D8,0x002DF0E4,0x002DF0E8,          ,U,f,
0x002DF0E8,          ,0x002DF11C,          ,U,f,
0x002DF11C,          ,0x002DF198,          ,U,f,
0x002DF198,          ,0x002DF1FC,          ,U,f,
0x002DF1FC,          ,0x002DF244,          ,U,f,
0x002DF244,          ,0x002DF298,          ,U,f,
0x002DF298,          ,0x002DF2CC,          ,U,f,
0x002DF2CC,          ,0x002DF354,          ,U,f,
0x002DF354,          ,0x002DF3E4,          ,U,f,
0x002DF3E4,          ,0x002DF440,          ,U,f,
0x002DF440,          ,0x002DF448,          ,U,f,
0x002DF448,          ,0x002DF450,          ,U,f,
0x002DF450,          ,0x002DF460,          ,U,f,
0x002DF460,          ,0x002DF464,          ,U,f,
0x002DF464,          ,0x002DF470,          ,U,f,
0x002DF470,0x002DF500,0x002DF508,          ,U,f,
0x002DF508,0x002DF548,0x002DF54C,          ,U,f,
0x002DF54C,          ,0x002DF5DC,          ,U,f,
0x002DF5DC,          ,0x002DF754,          ,U,f,
0x002DF754,          ,0x002DF75C,          ,U,f,
0x002DF75C,0x002DF7C0,0x002DF7C8,          ,U,f,
0x002DF7C8,          ,0x002DF7CC,          ,U,f,
0x002DF7CC,0x002DF814,0x002DF818,          ,U,f,_ZN4sead21ControllerWrapperBaseD1Ev
0x002DF818,0x002DF860,0x002DF868,          ,U,f,
0x002DF868,          ,0x002DF88C,          ,U,f,_ZN4sead15PrimitiveDrawer7QuadArg8setColorERKNS_7Color4fES4_
0x002DF88C,0x002DF950,0x002DF95C,          ,U,f,
0x002DF95C,0x002DF980,0x002DF984,          ,U,f,
0x002DF984,0x002DF9F0,0x002DF9F4,          ,U,f,
0x002DF9F4,          ,0x002DF9F8,          ,U,f,
0x002DF9F8,          ,0x002DFA6C,          ,U,f,
0x002DFA6C,0x002DFC18,0x002DFC70,          ,U,f,
0x002DFC70,          ,0x002DFC94,          ,U,f,
0x002DFC94,          ,0x002DFCB8,          ,U,f,
0x002DFCB8,          ,0x002DFCCC,          ,U,f,
0x002DFCCC,          ,0x002DFCD0,          ,U,f,
0x002DFCD0,0x002DFD1C,0x002DFD24,          ,U,f,
0x002DFD24,0x002DFD6C,0x002DFD74,          ,U,f,
0x002DFD74,          ,0x002DFD84,          ,U,f,
0x002DFD84,0x002DFDD8,0x002DFDE0,          ,U,f,
0x002DFDE0,0x002DFE2C,0x002DFE34,          ,U,f,
0x002DFE34,0x002DFE80,0x002DFE88,          ,U,f,
0x002DFE88,0x002DFEE0,0x002DFEE8,          ,U,f,
0x002DFEE8,0x002DFF34,0x002DFF3C,          ,U,f,_ZN4sead18BinaryStreamFormat7writeS8EPNS_9StreamSrcENS_6Endian5TypesEa
0x002DFF3C,0x002DFF84,0x002DFF8C,          ,U,f,
0x002DFF8C,0x002DFFDC,0x002DFFE4,          ,U,f,
0x002DFFE4,0x002E0030,0x002E0038,          ,U,f,
0x002E0038,0x002E0084,0x002E008C,          ,U,f,
0x002E008C,0x002E00D4,0x002E00DC,          ,U,f,
0x002E00DC,          ,0x002E00EC,          ,U,f,
0x002E00EC,          ,0x002E00F0,          ,U,f,
0x002E00F0,          ,0x002E00F8,          ,U,f,
0x002E00F8,0x002E011C,0x002E0120,          ,U,f,
0x002E0120,0x002E0150,0x002E0154,          ,U,f,
0x002E0154,0x002E0180,0x002E0184,          ,U,f,
0x002E0184,          ,0x002E02A0,          ,U,f,
0x002E02A0,          ,0x002E02C8,          ,U,f,
0x002E02C8,          ,0x002E0300,          ,U,f,
0x002E0300,          ,0x002E03CC,          ,U,f,
0x002E03CC,          ,0x002E0400,          ,U,f,
0x002E0400,          ,0x002E0408,          ,U,f,
0x002E0408,0x002E0454,0x002E045C,          ,U,f,
0x002E045C,0x002E0528,0x002E0538,          ,U,f,
0x002E0538,0x002E05AC,0x002E05B8,          ,U,f,_ZN4sead19StereoCameraWrapperC2Ev
0x002E05B8,          ,0x002E0600,          ,U,f,
0x002E0600,          ,0x002E0634,          ,U,f,
